user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
999;26-35;male;Palo Alto;Muslim;Single;Student;Center Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.026178;5
998;18-25;female;Boston;Christian;Divorced;Service;Right;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.041885;6
997;56-65;male;Cambridge;Sikh;Widowed;Student;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.031414;3
996;18-25;female;Cambridge;Buddhist;Single;Manager;Center Right;Heterosexual;LOW;music artist;tv show;drink brand;NO;0.068063;5
995;66-75;female;San Jose;Jewish;Married;Production transportation;Far Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.036649;4
994;76-85;male;Winthrop;Other religions;Single;Sales and office;Center Left;Bisexual;LOW;music artist;music artist;entertainment;NO;0.073298;5
993;66-75;female;Cambridge;Buddhist;Married;Student;Center Right;Bisexual;LOW;music artist;music artist;entertainment;NO;0.031414;2
992;18-25;female;Winthrop;Christian;Single;Professional;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.115183;8
991;26-35;female;Winthrop;Christian;Widowed;Sales and office;Left;Asexual;LOW;entertainment;tv show;entertainment;NO;0.041885;4
990;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.120419;9
989;26-35;female;Cambridge;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.083770;0
988;26-35;female;Cambridge;Buddhist;Single;Professional;Center;Heterosexual;LOW;entertainment;entertainment;entertainment;YES;0.078534;2
987;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.068063;5
986;76-85;female;Santa Barbara;Hindu;Married;Production transportation;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.125654;3
985;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;music artist;soccer club;YES;0.115183;2
984;46-55;female;Winthrop;Buddhist;Divorced;Sales and office;Far Left;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.198953;2
983;56-65;female;Palo Alto;Hindu;Single;Natural resources construction;Center;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.057592;9
982;26-35;female;Cambridge;Buddhist;Single;Sales and office;Left;Heterosexual;LOW;entertainment;music artist;soccer club;YES;0.115183;2
981;46-55;male;Santa Barbara;Buddhist;Married;Natural resources construction;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.089005;3
980;66-75;male;Winthrop;Christian;Single;Sales and office;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.141361;4
979;26-35;male;Boston;No religious affiliation;Married;Manager;Center;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.078534;0
978;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.136126;5
977;36-45;male;Winthrop;No religious affiliation;Divorced;Professional;Far Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.083770;0
976;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.136126;5
975;18-25;male;San Jose;Muslim;Single;Student;Center Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.052356;1
974;26-35;female;Cambridge;Buddhist;Widowed;Sales and office;Left;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.089005;2
973;46-55;female;Cambridge;Buddhist;Divorced;Professional;Center;Asexual;LOW;music artist;music artist;drink brand;NO;0.162304;2
972;18-25;male;Cambridge;Muslim;Single;Manager;Center Right;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.136126;5
971;26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;tv show;drink brand;NO;0.089005;0
970;36-45;female;Santa Barbara;Jewish;Single;Service;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.151832;6
969;26-35;female;Cambridge;Hindu;Single;Sales and office;Center;Heterosexual;LOW;drink brand;tv show;soccer club;YES;0.136126;2
968;36-45;female;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.272251;0
967;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.068063;2
966;26-35;female;Cambridge;Buddhist;Divorced;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.047120;2
965;36-45;female;Cambridge;Christian;Married;Student;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.099476;2
964;18-25;female;Cambridge;Jewish;Divorced;Service;Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.099476;5
963;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.141361;5
962;26-35;female;Cambridge;Buddhist;Single;Natural resources construction;Center Right;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.104712;2
961;66-75;female;Cambridge;Buddhist;Married;Manager;Left;Homosexual;LOW;entertainment;tv show;soccer club;NO;0.151832;2
960;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.094241;9
959;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.078534;3
958;18-25;female;Cambridge;Muslim;Married;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.078534;1
957;26-35;female;Cambridge;Buddhist;Married;Manager;Center Left;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.209424;2
956;66-75;female;Palo Alto;Christian;Widowed;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.078534;9
955;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.130890;2
954;18-25;male;Boston;Sikh;Widowed;Sales and office;Center;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.178010;2
953;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;drink brand;soccer club;YES;0.225131;2
952;26-35;female;Cambridge;Buddhist;Married;Production transportation;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.052356;2
951;26-35;female;Cambridge;Hindu;Married;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.109948;2
950;26-35;female;San Jose;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.151832;2
949;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.240838;2
948;18-25;female;Palo Alto;Muslim;Single;Professional;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.068063;5
947;26-35;female;Winthrop;Hindu;Single;Service;Center Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.198953;2
946;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;music artist;music artist;drink brand;YES;0.115183;2
945;18-25;female;Boston;Jewish;Widowed;Professional;Center Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.204188;5
944;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.115183;2
943;26-35;female;Cambridge;Buddhist;Single;Sales and office;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.188482;2
942;26-35;female;Boston;Buddhist;Married;Sales and office;Center;Homosexual;LOW;entertainment;tv show;soccer club;NO;0.172775;2
941;18-25;female;Winthrop;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.225131;2
940;26-35;female;Cambridge;Buddhist;Divorced;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.141361;2
939;26-35;female;Boston;Buddhist;Married;Sales and office;Left;Bisexual;LOW;entertainment;tv show;soccer club;NO;0.246073;2
938;26-35;female;Palo Alto;Hindu;Widowed;Professional;Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.251309;2
937;46-55;female;Santa Barbara;Hindu;Married;Manager;Right;Homosexual;LOW;entertainment;tv show;soccer club;NO;0.397906;2
936;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.047120;3
935;36-45;female;San Jose;Christian;Married;Sales and office;Far Left;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.026178;0
934;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.109948;5
933;18-25;female;Boston;Christian;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.073298;5
932;26-35;female;Winthrop;Muslim;Widowed;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.099476;5
931;36-45;male;Cambridge;Hindu;Married;Sales and office;Center;Asexual;LOW;drink brand;tv show;drink brand;NO;0.136126;0
930;56-65;female;Boston;Buddhist;Married;Service;Far Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.120419;5
929;56-65;female;Santa Barbara;Hindu;Married;Production transportation;Right;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.083770;3
928;26-35;male;Boston;Sikh;Single;Sales and office;Right;Bisexual;LOW;music artist;music artist;entertainment;NO;0.083770;3
927;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.089005;3
926;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.125654;3
925;66-75;male;Winthrop;Buddhist;Married;Natural resources construction;Center Right;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.089005;9
924;46-55;male;Cambridge;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.136126;3
923;26-35;female;Cambridge;Buddhist;Divorced;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.099476;2
922;56-65;male;Cambridge;Sikh;Widowed;Student;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.188482;3
