community;attribute;value;frequency
ALL;AGE;18-25;272
ALL;AGE;26-35;284
ALL;AGE;36-45;182
ALL;AGE;46-55;50
ALL;AGE;56-65;102
ALL;AGE;66-75;72
ALL;AGE;76-85;38
ALL;GENDER;Male;302
ALL;GENDER;Female;698
ALL;RESIDENCE;PaloAlto;143
ALL;RESIDENCE;SantaBarbara;121
ALL;RESIDENCE;Winthrop;200
ALL;RESIDENCE;Boston;194
ALL;RESIDENCE;Cambridge;220
ALL;RESIDENCE;SanJose;122
ALL;RELIGION;Buddhist;193
ALL;RELIGION;Christian;251
ALL;RELIGION;Hindu;141
ALL;RELIGION;Jewish;77
ALL;RELIGION;Muslim;173
ALL;RELIGION;Sikh;14
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;124
ALL;MARITAL;Single;388
ALL;MARITAL;Married;366
ALL;MARITAL;Divorced;118
ALL;MARITAL;Widowed;128
ALL;PROFESSION;Manager;59
ALL;PROFESSION;Professional;196
ALL;PROFESSION;Service;79
ALL;PROFESSION;Salesandoffice;344
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;148
ALL;POLITICAL;FarLeft;71
ALL;POLITICAL;Left;132
ALL;POLITICAL;CenterLeft;178
ALL;POLITICAL;Center;307
ALL;POLITICAL;CenterRight;196
ALL;POLITICAL;Right;112
ALL;POLITICAL;FarRight;4
ALL;SEXUALITY;Asexual;27
ALL;SEXUALITY;Bisexual;48
ALL;SEXUALITY;Heterosexual;860
ALL;SEXUALITY;Homosexual;65
ALL;LIKE1;entertainment;324
ALL;LIKE1;music artist;205
ALL;LIKE1;drink brand;193
ALL;LIKE1;tv show;278
ALL;LIKE2;entertainment;240
ALL;LIKE2;music artist;250
ALL;LIKE2;tv show;321
ALL;LIKE2;drink brand;189
ALL;LIKE3;music artist;129
ALL;LIKE3;entertainment;276
ALL;LIKE3;drink brand;274
ALL;LIKE3;soccer club;321
9;AGE;18-25;0
9;AGE;26-35;0
9;AGE;36-45;0
9;AGE;46-55;0
9;AGE;56-65;5
9;AGE;66-75;3
9;AGE;76-85;1
9;GENDER;Male;6
9;GENDER;Female;3
9;RESIDENCE;PaloAlto;2
9;RESIDENCE;SantaBarbara;4
9;RESIDENCE;Winthrop;3
9;RESIDENCE;Boston;0
9;RESIDENCE;Cambridge;0
9;RESIDENCE;SanJose;0
9;RELIGION;Buddhist;1
9;RELIGION;Christian;1
9;RELIGION;Hindu;5
9;RELIGION;Jewish;0
9;RELIGION;Muslim;0
9;RELIGION;Sikh;2
9;RELIGION;TraditionalSpirituality;0
9;RELIGION;OtherReligion;0
9;RELIGION;Noreligiousaffiliation;0
9;MARITAL;Single;3
9;MARITAL;Married;1
9;MARITAL;Divorced;0
9;MARITAL;Widowed;5
9;PROFESSION;Manager;0
9;PROFESSION;Professional;0
9;PROFESSION;Service;0
9;PROFESSION;Salesandoffice;0
9;PROFESSION;Naturalresourcesconstructionandmaintenance;0
9;PROFESSION;Productiontransportationandmaterialmoving;0
9;PROFESSION;Student;0
9;POLITICAL;FarLeft;0
9;POLITICAL;Left;7
9;POLITICAL;CenterLeft;0
9;POLITICAL;Center;1
9;POLITICAL;CenterRight;1
9;POLITICAL;Right;0
9;POLITICAL;FarRight;0
9;SEXUALITY;Asexual;0
9;SEXUALITY;Bisexual;0
9;SEXUALITY;Heterosexual;9
9;SEXUALITY;Homosexual;0
9;LIKE1;entertainment;1
9;LIKE1;music artist;0
9;LIKE1;drink brand;1
9;LIKE1;tv show;7
9;LIKE2;entertainment;8
9;LIKE2;music artist;0
9;LIKE2;tv show;1
9;LIKE2;drink brand;0
9;LIKE3;music artist;0
9;LIKE3;entertainment;1
9;LIKE3;drink brand;7
9;LIKE3;soccer club;1
8;AGE;18-25;21
8;AGE;26-35;4
8;AGE;36-45;0
8;AGE;46-55;1
8;AGE;56-65;0
8;AGE;66-75;2
8;AGE;76-85;0
8;GENDER;Male;5
8;GENDER;Female;23
8;RESIDENCE;PaloAlto;1
8;RESIDENCE;SantaBarbara;0
8;RESIDENCE;Winthrop;24
8;RESIDENCE;Boston;3
8;RESIDENCE;Cambridge;0
8;RESIDENCE;SanJose;0
8;RELIGION;Buddhist;0
8;RELIGION;Christian;21
8;RELIGION;Hindu;0
8;RELIGION;Jewish;1
8;RELIGION;Muslim;5
8;RELIGION;Sikh;0
8;RELIGION;TraditionalSpirituality;0
8;RELIGION;OtherReligion;0
8;RELIGION;Noreligiousaffiliation;0
8;MARITAL;Single;18
8;MARITAL;Married;6
8;MARITAL;Divorced;1
8;MARITAL;Widowed;3
8;PROFESSION;Manager;2
8;PROFESSION;Professional;24
8;PROFESSION;Service;1
8;PROFESSION;Salesandoffice;0
8;PROFESSION;Naturalresourcesconstructionandmaintenance;0
8;PROFESSION;Productiontransportationandmaterialmoving;0
8;PROFESSION;Student;1
8;POLITICAL;FarLeft;0
8;POLITICAL;Left;6
8;POLITICAL;CenterLeft;2
8;POLITICAL;Center;5
8;POLITICAL;CenterRight;14
8;POLITICAL;Right;1
8;POLITICAL;FarRight;0
8;SEXUALITY;Asexual;0
8;SEXUALITY;Bisexual;0
8;SEXUALITY;Heterosexual;26
8;SEXUALITY;Homosexual;2
8;LIKE1;entertainment;17
8;LIKE1;music artist;4
8;LIKE1;drink brand;1
8;LIKE1;tv show;6
8;LIKE2;entertainment;5
8;LIKE2;music artist;16
8;LIKE2;tv show;1
8;LIKE2;drink brand;6
8;LIKE3;music artist;4
8;LIKE3;entertainment;3
8;LIKE3;drink brand;1
8;LIKE3;soccer club;20
7;AGE;18-25;0
7;AGE;26-35;0
7;AGE;36-45;0
7;AGE;46-55;0
7;AGE;56-65;5
7;AGE;66-75;0
7;AGE;76-85;0
7;GENDER;Male;5
7;GENDER;Female;0
7;RESIDENCE;PaloAlto;0
7;RESIDENCE;SantaBarbara;3
7;RESIDENCE;Winthrop;1
7;RESIDENCE;Boston;1
7;RESIDENCE;Cambridge;0
7;RESIDENCE;SanJose;0
7;RELIGION;Buddhist;0
7;RELIGION;Christian;1
7;RELIGION;Hindu;3
7;RELIGION;Jewish;1
7;RELIGION;Muslim;0
7;RELIGION;Sikh;0
7;RELIGION;TraditionalSpirituality;0
7;RELIGION;OtherReligion;0
7;RELIGION;Noreligiousaffiliation;0
7;MARITAL;Single;1
7;MARITAL;Married;0
7;MARITAL;Divorced;2
7;MARITAL;Widowed;2
7;PROFESSION;Manager;0
7;PROFESSION;Professional;0
7;PROFESSION;Service;0
7;PROFESSION;Salesandoffice;0
7;PROFESSION;Naturalresourcesconstructionandmaintenance;0
7;PROFESSION;Productiontransportationandmaterialmoving;0
7;PROFESSION;Student;1
7;POLITICAL;FarLeft;4
7;POLITICAL;Left;1
7;POLITICAL;CenterLeft;0
7;POLITICAL;Center;0
7;POLITICAL;CenterRight;0
7;POLITICAL;Right;0
7;POLITICAL;FarRight;0
7;SEXUALITY;Asexual;1
7;SEXUALITY;Bisexual;0
7;SEXUALITY;Heterosexual;4
7;SEXUALITY;Homosexual;0
7;LIKE1;entertainment;0
7;LIKE1;music artist;3
7;LIKE1;drink brand;1
7;LIKE1;tv show;1
7;LIKE2;entertainment;0
7;LIKE2;music artist;0
7;LIKE2;tv show;4
7;LIKE2;drink brand;1
7;LIKE3;music artist;0
7;LIKE3;entertainment;0
7;LIKE3;drink brand;1
7;LIKE3;soccer club;4
6;AGE;18-25;12
6;AGE;26-35;7
6;AGE;36-45;5
6;AGE;46-55;0
6;AGE;56-65;0
6;AGE;66-75;0
6;AGE;76-85;0
6;GENDER;Male;2
6;GENDER;Female;22
6;RESIDENCE;PaloAlto;2
6;RESIDENCE;SantaBarbara;1
6;RESIDENCE;Winthrop;16
6;RESIDENCE;Boston;2
6;RESIDENCE;Cambridge;3
6;RESIDENCE;SanJose;0
6;RELIGION;Buddhist;0
6;RELIGION;Christian;10
6;RELIGION;Hindu;0
6;RELIGION;Jewish;13
6;RELIGION;Muslim;0
6;RELIGION;Sikh;0
