community;attribute;value;frequency
ALL;AGE;18-25;216
ALL;AGE;26-35;207
ALL;AGE;36-45;157
ALL;AGE;46-55;57
ALL;AGE;56-65;206
ALL;AGE;66-75;79
ALL;AGE;76-85;34
ALL;GENDER;Male;342
ALL;GENDER;Female;619
ALL;RESIDENCE;PaloAlto;88
ALL;RESIDENCE;SantaBarbara;260
ALL;RESIDENCE;Winthrop;179
ALL;RESIDENCE;Boston;201
ALL;RESIDENCE;Cambridge;138
ALL;RESIDENCE;SanJose;91
ALL;RELIGION;Buddhist;182
ALL;RELIGION;Christian;183
ALL;RELIGION;Hindu;255
ALL;RELIGION;Jewish;101
ALL;RELIGION;Muslim;125
ALL;RELIGION;Sikh;13
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;85
ALL;MARITAL;Single;344
ALL;MARITAL;Married;329
ALL;MARITAL;Divorced;135
ALL;MARITAL;Widowed;149
ALL;PROFESSION;Manager;74
ALL;PROFESSION;Professional;183
ALL;PROFESSION;Service;46
ALL;PROFESSION;Salesandoffice;252
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;71
ALL;POLITICAL;FarLeft;125
ALL;POLITICAL;Left;149
ALL;POLITICAL;CenterLeft;111
ALL;POLITICAL;Center;225
ALL;POLITICAL;CenterRight;199
ALL;POLITICAL;Right;142
ALL;POLITICAL;FarRight;5
ALL;SEXUALITY;Asexual;25
ALL;SEXUALITY;Bisexual;54
ALL;SEXUALITY;Heterosexual;818
ALL;SEXUALITY;Homosexual;63
ALL;LIKE1;entertainment;326
ALL;LIKE1;music artist;171
ALL;LIKE1;drink brand;113
ALL;LIKE1;tv show;345
ALL;LIKE2;entertainment;325
ALL;LIKE2;music artist;249
ALL;LIKE2;tv show;233
ALL;LIKE2;drink brand;149
ALL;LIKE3;music artist;144
ALL;LIKE3;entertainment;238
ALL;LIKE3;drink brand;266
ALL;LIKE3;soccer club;307
9;AGE;18-25;5
9;AGE;26-35;3
9;AGE;36-45;4
9;AGE;46-55;4
9;AGE;56-65;25
9;AGE;66-75;13
9;AGE;76-85;1
9;GENDER;Male;25
9;GENDER;Female;30
9;RESIDENCE;PaloAlto;5
9;RESIDENCE;SantaBarbara;37
9;RESIDENCE;Winthrop;3
9;RESIDENCE;Boston;1
9;RESIDENCE;Cambridge;5
9;RESIDENCE;SanJose;4
9;RELIGION;Buddhist;14
9;RELIGION;Christian;2
9;RELIGION;Hindu;36
9;RELIGION;Jewish;0
9;RELIGION;Muslim;1
9;RELIGION;Sikh;2
9;RELIGION;TraditionalSpirituality;0
9;RELIGION;OtherReligion;0
9;RELIGION;Noreligiousaffiliation;0
9;MARITAL;Single;14
9;MARITAL;Married;10
9;MARITAL;Divorced;8
9;MARITAL;Widowed;23
9;PROFESSION;Manager;1
9;PROFESSION;Professional;6
9;PROFESSION;Service;0
9;PROFESSION;Salesandoffice;4
9;PROFESSION;Naturalresourcesconstructionandmaintenance;0
9;PROFESSION;Productiontransportationandmaterialmoving;0
9;PROFESSION;Student;8
9;POLITICAL;FarLeft;4
9;POLITICAL;Left;34
9;POLITICAL;CenterLeft;4
9;POLITICAL;Center;4
9;POLITICAL;CenterRight;3
9;POLITICAL;Right;6
9;POLITICAL;FarRight;0
9;SEXUALITY;Asexual;1
9;SEXUALITY;Bisexual;3
9;SEXUALITY;Heterosexual;46
9;SEXUALITY;Homosexual;5
9;LIKE1;entertainment;9
9;LIKE1;music artist;4
9;LIKE1;drink brand;4
9;LIKE1;tv show;38
9;LIKE2;entertainment;40
9;LIKE2;music artist;4
9;LIKE2;tv show;4
9;LIKE2;drink brand;8
9;LIKE3;music artist;6
9;LIKE3;entertainment;6
9;LIKE3;drink brand;35
9;LIKE3;soccer club;8
8;AGE;18-25;44
8;AGE;26-35;8
8;AGE;36-45;4
8;AGE;46-55;1
8;AGE;56-65;0
8;AGE;66-75;0
8;AGE;76-85;4
8;GENDER;Male;4
8;GENDER;Female;57
8;RESIDENCE;PaloAlto;3
8;RESIDENCE;SantaBarbara;2
8;RESIDENCE;Winthrop;37
8;RESIDENCE;Boston;14
8;RESIDENCE;Cambridge;3
8;RESIDENCE;SanJose;2
8;RELIGION;Buddhist;0
8;RELIGION;Christian;46
8;RELIGION;Hindu;3
8;RELIGION;Jewish;5
8;RELIGION;Muslim;5
8;RELIGION;Sikh;0
8;RELIGION;TraditionalSpirituality;0
8;RELIGION;OtherReligion;0
8;RELIGION;Noreligiousaffiliation;0
8;MARITAL;Single;28
8;MARITAL;Married;29
8;MARITAL;Divorced;2
8;MARITAL;Widowed;2
8;PROFESSION;Manager;2
8;PROFESSION;Professional;34
8;PROFESSION;Service;6
8;PROFESSION;Salesandoffice;9
8;PROFESSION;Naturalresourcesconstructionandmaintenance;0
8;PROFESSION;Productiontransportationandmaterialmoving;0
8;PROFESSION;Student;5
8;POLITICAL;FarLeft;3
8;POLITICAL;Left;8
8;POLITICAL;CenterLeft;8
8;POLITICAL;Center;3
8;POLITICAL;CenterRight;34
8;POLITICAL;Right;5
8;POLITICAL;FarRight;0
8;SEXUALITY;Asexual;5
8;SEXUALITY;Bisexual;4
8;SEXUALITY;Heterosexual;49
8;SEXUALITY;Homosexual;3
8;LIKE1;entertainment;37
8;LIKE1;music artist;9
8;LIKE1;drink brand;8
8;LIKE1;tv show;7
8;LIKE2;entertainment;13
8;LIKE2;music artist;33
8;LIKE2;tv show;8
8;LIKE2;drink brand;7
8;LIKE3;music artist;12
8;LIKE3;entertainment;6
8;LIKE3;drink brand;12
8;LIKE3;soccer club;31
7;AGE;18-25;9
7;AGE;26-35;16
7;AGE;36-45;5
7;AGE;46-55;6
7;AGE;56-65;66
7;AGE;66-75;14
7;AGE;76-85;2
7;GENDER;Male;65
7;GENDER;Female;53
7;RESIDENCE;PaloAlto;8
7;RESIDENCE;SantaBarbara;68
7;RESIDENCE;Winthrop;12
7;RESIDENCE;Boston;13
7;RESIDENCE;Cambridge;1
7;RESIDENCE;SanJose;16
7;RELIGION;Buddhist;25
7;RELIGION;Christian;5
7;RELIGION;Hindu;63
7;RELIGION;Jewish;3
7;RELIGION;Muslim;16
7;RELIGION;Sikh;4
7;RELIGION;TraditionalSpirituality;0
7;RELIGION;OtherReligion;0
7;RELIGION;Noreligiousaffiliation;0
7;MARITAL;Single;18
7;MARITAL;Married;49
7;MARITAL;Divorced;16
7;MARITAL;Widowed;35
7;PROFESSION;Manager;5
7;PROFESSION;Professional;5
7;PROFESSION;Service;0
7;PROFESSION;Salesandoffice;10
7;PROFESSION;Naturalresourcesconstructionandmaintenance;0
7;PROFESSION;Productiontransportationandmaterialmoving;0
7;PROFESSION;Student;4
7;POLITICAL;FarLeft;57
7;POLITICAL;Left;32
7;POLITICAL;CenterLeft;8
7;POLITICAL;Center;15
7;POLITICAL;CenterRight;1
7;POLITICAL;Right;5
7;POLITICAL;FarRight;0
7;SEXUALITY;Asexual;4
7;SEXUALITY;Bisexual;12
7;SEXUALITY;Heterosexual;94
7;SEXUALITY;Homosexual;8
7;LIKE1;entertainment;48
7;LIKE1;music artist;59
7;LIKE1;drink brand;4
7;LIKE1;tv show;7
7;LIKE2;entertainment;49
7;LIKE2;music artist;15
7;LIKE2;tv show;47
7;LIKE2;drink brand;7
7;LIKE3;music artist;33
7;LIKE3;entertainment;25
7;LIKE3;drink brand;6
7;LIKE3;soccer club;54
6;AGE;18-25;61
6;AGE;26-35;22
6;AGE;36-45;0
6;AGE;46-55;5
6;AGE;56-65;1
6;AGE;66-75;3
6;AGE;76-85;5
6;GENDER;Male;7
6;GENDER;Female;90
6;RESIDENCE;PaloAlto;3
6;RESIDENCE;SantaBarbara;4
6;RESIDENCE;Winthrop;63
6;RESIDENCE;Boston;13
6;RESIDENCE;Cambridge;11
6;RESIDENCE;SanJose;3
6;RELIGION;Buddhist;0
6;RELIGION;Christian;31
6;RELIGION;Hindu;2
6;RELIGION;Jewish;49
6;RELIGION;Muslim;13
6;RELIGION;Sikh;0
6;RELIGION;TraditionalSpirituality;0
6;RELIGION;OtherReligion;0
6;RELIGION;Noreligiousaffiliation;0
6;MARITAL;Single;50
6;MARITAL;Married;34
6;MARITAL;Divorced;10
6;MARITAL;Widowed;3
6;PROFESSION;Manager;8
6;PROFESSION;Professional;63
6;PROFESSION;Service;8
6;PROFESSION;Salesandoffice;14
6;PROFESSION;Naturalresourcesconstructionandmaintenance;0
6;PROFESSION;Productiontransportationandmaterialmoving;0
6;PROFESSION;Student;2
6;POLITICAL;FarLeft;2
6;POLITICAL;Left;9
6;POLITICAL;CenterLeft;5
6;POLITICAL;Center;2
6;POLITICAL;CenterRight;75
6;POLITICAL;Right;4
6;POLITICAL;FarRight;0
6;SEXUALITY;Asexual;1
6;SEXUALITY;Bisexual;5
6;SEXUALITY;Heterosexual;84
6;SEXUALITY;Homosexual;7
6;LIKE1;entertainment;26
6;LIKE1;music artist;9
6;LIKE1;drink brand;9
6;LIKE1;tv show;53
6;LIKE2;entertainment;30
6;LIKE2;music artist;52
6;LIKE2;tv show;9
6;LIKE2;drink brand;6
6;LIKE3;music artist;22
6;LIKE3;entertainment;10
6;LIKE3;drink brand;58
6;LIKE3;soccer club;7
5;AGE;18-25;23
5;AGE;26-35;1
5;AGE;36-45;1
5;AGE;46-55;0
5;AGE;56-65;0
5;AGE;66-75;1
5;AGE;76-85;0
5;GENDER;Male;2
5;GENDER;Female;24
5;RESIDENCE;PaloAlto;0
5;RESIDENCE;SantaBarbara;1
5;RESIDENCE;Winthrop;24
5;RESIDENCE;Boston;0
5;RESIDENCE;Cambridge;0
5;RESIDENCE;SanJose;1
5;RELIGION;Buddhist;0
5;RELIGION;Christian;3
5;RELIGION;Hindu;0
5;RELIGION;Jewish;2
5;RELIGION;Muslim;21
5;RELIGION;Sikh;0
5;RELIGION;TraditionalSpirituality;0
5;RELIGION;OtherReligion;0
5;RELIGION;Noreligiousaffiliation;0
5;MARITAL;Single;20
5;MARITAL;Married;5
5;MARITAL;Divorced;0
5;MARITAL;Widowed;1
5;PROFESSION;Manager;0
5;PROFESSION;Professional;21
5;PROFESSION;Service;3
5;PROFESSION;Salesandoffice;1
5;PROFESSION;Naturalresourcesconstructionandmaintenance;0
5;PROFESSION;Productiontransportationandmaterialmoving;0
5;PROFESSION;Student;0
5;POLITICAL;FarLeft;0
5;POLITICAL;Left;1
5;POLITICAL;CenterLeft;2
5;POLITICAL;Center;1
5;POLITICAL;CenterRight;20
5;POLITICAL;Right;2
5;POLITICAL;FarRight;0
5;SEXUALITY;Asexual;0
5;SEXUALITY;Bisexual;1
5;SEXUALITY;Heterosexual;23
5;SEXUALITY;Homosexual;2
5;LIKE1;entertainment;5
5;LIKE1;music artist;19
5;LIKE1;drink brand;1
5;LIKE1;tv show;1
5;LIKE2;entertainment;5
5;LIKE2;music artist;4
5;LIKE2;tv show;16
5;LIKE2;drink brand;1
5;LIKE3;music artist;3
5;LIKE3;entertainment;3
5;LIKE3;drink brand;4
5;LIKE3;soccer club;16
4;AGE;18-25;5
4;AGE;26-35;5
4;AGE;36-45;0
4;AGE;46-55;0
4;AGE;56-65;3
4;AGE;66-75;29
4;AGE;76-85;5
4;GENDER;Male;9
4;GENDER;Female;38
