user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
9997;26-35;female;Santa Barbara;Other religions;Single;Professional;Left;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.017045;5
9996;36-45;female;Boston;Buddhist;Widowed;Service;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.011364;2
9994;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.011364;9
9992;66-75;male;Boston;Buddhist;Married;Production transportation;Center Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.022727;3
9988;46-55;female;Palo Alto;Christian;Single;Natural resources construction;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.022727;3
9987;56-65;female;Boston;Hindu;Divorced;Sales and office;Center;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.017045;2
9986;46-55;female;Cambridge;Hindu;Married;Sales and office;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.011364;2
9985;26-35;male;Winthrop;Christian;Married;Professional;Center Right;Asexual;LOW;music artist;music artist;entertainment;NO;0.022727;5
9984;18-25;male;Palo Alto;Christian;Married;Sales and office;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.005682;1
9983;18-25;female;Santa Barbara;Muslim;Divorced;Production transportation;Center Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.005682;5
9982;26-35;male;Boston;Christian;Married;Professional;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.011364;0
9981;66-75;female;Winthrop;Jewish;Single;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.022727;0
9978;36-45;female;Cambridge;Buddhist;Married;Student;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.005682;2
9976;46-55;male;Santa Barbara;Sikh;Single;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.011364;3
9975;26-35;female;Boston;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.017045;5
9973;18-25;male;Winthrop;Muslim;Married;Professional;Center Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.022727;5
9972;26-35;male;San Jose;Christian;Widowed;Student;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.022727;1
9971;76-85;female;San Jose;Jewish;Divorced;Manager;Far Left;Homosexual;LOW;entertainment;tv show;entertainment;NO;0.051136;4
9970;36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.017045;0
9969;56-65;male;Boston;Hindu;Widowed;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.005682;9
9968;26-35;male;Boston;No religious affiliation;Single;Sales and office;Center Left;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.022727;0
9966;18-25;male;Palo Alto;Muslim;Single;Student;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.051136;1
9965;66-75;female;San Jose;Muslim;Divorced;Student;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.005682;4
9963;56-65;female;Cambridge;Buddhist;Married;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.017045;2
9962;26-35;female;Cambridge;Buddhist;Divorced;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.062500;2
9961;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.028409;9
9960;66-75;female;San Jose;Jewish;Single;Professional;Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.051136;4
9957;46-55;female;Santa Barbara;Christian;Widowed;Production transportation;Left;Homosexual;LOW;entertainment;entertainment;entertainment;NO;0.011364;4
9956;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.011364;9
9955;26-35;female;Palo Alto;Muslim;Divorced;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.011364;4
9953;18-25;female;Santa Barbara;Jewish;Single;Sales and office;Far Left;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.022727;1
9952;56-65;male;Boston;Christian;Married;Sales and office;Center Left;Homosexual;LOW;music artist;music artist;drink brand;NO;0.062500;2
9951;36-45;male;Boston;Christian;Married;Sales and office;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.034091;1
9950;26-35;female;Santa Barbara;Hindu;Single;Production transportation;Right;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.011364;3
9949;18-25;female;Cambridge;Christian;Single;Professional;Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.017045;5
9948;36-45;male;Palo Alto;Jewish;Married;Student;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.028409;1
9947;46-55;male;Santa Barbara;Sikh;Single;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.045455;3
9946;26-35;male;Palo Alto;Muslim;Divorced;Natural resources construction;Center;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.045455;1
9945;18-25;female;Palo Alto;Other religions;Single;Professional;Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.017045;1
9944;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.039773;5
9943;36-45;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.051136;5
9942;76-85;female;Santa Barbara;Sikh;Single;Production transportation;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.085227;2
9941;18-25;female;Palo Alto;Christian;Married;Sales and office;Center Left;Heterosexual;LOW;tv show;drink brand;entertainment;NO;0.034091;1
9940;56-65;female;Winthrop;Christian;Divorced;Professional;Center Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.005682;5
9939;26-35;female;Boston;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.028409;5
9938;56-65;male;Santa Barbara;Buddhist;Married;Professional;Center Right;Asexual;LOW;tv show;entertainment;entertainment;NO;0.034091;3
9937;56-65;female;Boston;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.028409;3
9936;46-55;male;Santa Barbara;Hindu;Married;Student;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.022727;3
9935;18-25;male;Boston;Christian;Single;Manager;Center Right;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.005682;0
9934;66-75;female;Winthrop;Jewish;Married;Manager;Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.039773;3
9933;56-65;male;Winthrop;Hindu;Married;Production transportation;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.022727;3
9931;18-25;male;Palo Alto;Christian;Married;Manager;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.028409;1
